Type,Date,Open,High,Low,Close,Adj Close,Volume
BTC,4/22/2017,1222.709961,1235.560059,1208.469971,1231.709961,1231.709961,249320000
BTC,4/23/2017,1231.920044,1232.199951,1203.939941,1207.209961,1207.209961,258951008
BTC,4/24/2017,1209.630005,1250.939941,1209.630005,1250.150024,1250.150024,235806000
BTC,4/25/2017,1250.449951,1267.579956,1249.969971,1265.48999,1265.48999,242556000
BTC,4/26/2017,1265.98999,1294.829956,1265.930054,1281.079956,1281.079956,329631008
BTC,4/27/2017,1281.880005,1319.699951,1281.300049,1317.72998,1317.72998,449196992
BTC,4/28/2017,1317.73999,1331.280029,1292.369995,1316.47998,1316.47998,527488992
BTC,4/29/2017,1317.839966,1327.199951,1315.209961,1321.790039,1321.790039,422705984
BTC,4/30/2017,1321.869995,1347.910034,1314.920044,1347.890015,1347.890015,413115008
BTC,5/1/2017,1348.300049,1434.319946,1348.300049,1421.599976,1421.599976,713624000
BTC,5/2/2017,1421.030029,1473.900024,1415.689941,1452.819946,1452.819946,477337984
BTC,5/3/2017,1453.780029,1492.77002,1447.48999,1490.089966,1490.089966,583795968
BTC,5/4/2017,1490.719971,1608.910034,1490.719971,1537.670044,1537.670044,933548992
BTC,5/5/2017,1540.869995,1618.030029,1530.310059,1555.449951,1555.449951,946035968
BTC,5/6/2017,1556.810059,1578.800049,1542.5,1578.800049,1578.800049,582529984
BTC,5/7/2017,1579.469971,1596.719971,1559.76001,1596.709961,1596.709961,1080029952
BTC,5/8/2017,1596.920044,1723.349976,1596.920044,1723.349976,1723.349976,1340320000
BTC,5/9/2017,1723.890015,1833.48999,1716.300049,1755.359985,1755.359985,1167920000
BTC,5/10/2017,1756.52002,1788.439941,1719.099976,1787.130005,1787.130005,915723008
BTC,5/11/2017,1780.369995,1873.930054,1755.349976,1848.569946,1848.569946,799489984
BTC,5/12/2017,1845.76001,1856.150024,1694.01001,1724.23999,1724.23999,740984000
BTC,5/13/2017,1723.119995,1812.98999,1651.079956,1804.910034,1804.910034,579635008
BTC,5/14/2017,1800.859985,1831.420044,1776.619995,1808.910034,1808.910034,437196000
BTC,5/15/2017,1808.439941,1812.800049,1708.540039,1738.430054,1738.430054,731529024
BTC,5/16/2017,1741.699951,1785.939941,1686.540039,1734.449951,1734.449951,959044992
BTC,5/17/2017,1726.72998,1864.050049,1661.910034,1839.089966,1839.089966,1064729984
BTC,5/18/2017,1818.699951,1904.47998,1807.119995,1888.650024,1888.650024,894321024
BTC,5/19/2017,1897.369995,2004.52002,1890.25,1987.709961,1987.709961,1157289984
BTC,5/20/2017,1984.23999,2084.72998,1974.920044,2084.72998,2084.72998,961336000
BTC,5/21/2017,2067.030029,2119.080078,2037.5,2041.199951,2041.199951,1147859968
BTC,5/22/2017,2043.189941,2303.899902,2017.869995,2173.399902,2173.399902,1942220032
BTC,5/23/2017,2191.560059,2320.820068,2178.5,2320.419922,2320.419922,1378749952
BTC,5/24/2017,2321.370117,2523.719971,2321.370117,2443.639893,2443.639893,1725379968
BTC,5/25/2017,2446.23999,2763.709961,2285.300049,2304.97998,2304.97998,2406700032
BTC,5/26/2017,2320.889893,2573.790039,2071.98999,2202.419922,2202.419922,1763480064
BTC,5/27/2017,2196.27002,2260.199951,1855.829956,2038.869995,2038.869995,1700480000
BTC,5/28/2017,2054.080078,2267.340088,2054.080078,2155.800049,2155.800049,1147139968
BTC,5/29/2017,2159.429932,2307.050049,2107.169922,2255.610107,2255.610107,994625024
BTC,5/30/2017,2255.360107,2301.959961,2124.570068,2175.469971,2175.469971,1443970048
BTC,5/31/2017,2187.189941,2311.080078,2145.570068,2286.409912,2286.409912,1544829952
BTC,6/1/2017,2288.330078,2448.389893,2288.330078,2407.879883,2407.879883,1653180032
BTC,6/2/2017,2404.030029,2488.550049,2373.320068,2488.550049,2488.550049,1317030016
BTC,6/3/2017,2493.719971,2581.909912,2423.570068,2515.350098,2515.350098,1514950016
BTC,6/4/2017,2547.790039,2585.889893,2452.540039,2511.810059,2511.810059,1355120000
BTC,6/5/2017,2512.399902,2686.810059,2510.219971,2686.810059,2686.810059,1369309952
BTC,6/6/2017,2690.840088,2999.909912,2690.840088,2863.199951,2863.199951,2089609984
BTC,6/7/2017,2869.379883,2869.379883,2700.560059,2732.159912,2732.159912,1517709952
BTC,6/8/2017,2720.48999,2815.300049,2670.949951,2805.620117,2805.620117,1281170048
BTC,6/9/2017,2807.439941,2901.709961,2795.620117,2823.810059,2823.810059,1348950016
BTC,6/10/2017,2828.139893,2950.98999,2746.550049,2947.709961,2947.709961,2018889984
BTC,6/11/2017,2942.409912,2996.600098,2840.530029,2958.110107,2958.110107,1752400000
BTC,6/12/2017,2953.219971,2997.26001,2518.560059,2659.629883,2659.629883,2569530112
BTC,6/13/2017,2680.909912,2789.040039,2650.379883,2717.02002,2717.02002,1781200000
BTC,6/14/2017,2716.879883,2786.830078,2412.939941,2506.370117,2506.370117,1696560000
BTC,6/15/2017,2499.580078,2534.709961,2212.959961,2464.580078,2464.580078,2026259968
BTC,6/16/2017,2469.570068,2539.919922,2385.149902,2518.560059,2518.560059,1195190016
BTC,6/17/2017,2514.01001,2685.189941,2484.959961,2655.879883,2655.879883,1534509952
BTC,6/18/2017,2655.350098,2662.100098,2516.330078,2548.290039,2548.290039,1178659968
BTC,6/19/2017,2549.030029,2662.850098,2549.030029,2589.600098,2589.600098,1446840064
BTC,6/20/2017,2591.26001,2763.449951,2589.820068,2721.790039,2721.790039,1854189952
BTC,6/21/2017,2709.429932,2772.01001,2660.399902,2689.100098,2689.100098,1626579968
BTC,6/22/2017,2691.030029,2723.73999,2642.360107,2705.409912,2705.409912,1097939968
BTC,6/23/2017,2707.340088,2765.169922,2706.370117,2744.909912,2744.909912,961318976
BTC,6/24/2017,2738.52002,2757.939941,2583.189941,2608.719971,2608.719971,982750016
BTC,6/25/2017,2607.25,2682.26001,2552.120117,2589.409912,2589.409912,1161100032
BTC,6/26/2017,2590.570068,2615.25,2376.290039,2478.449951,2478.449951,1663280000
BTC,6/27/2017,2478.449951,2552.449951,2332.98999,2552.449951,2552.449951,1489789952
BTC,6/28/2017,2553.030029,2603.97998,2484.419922,2574.790039,2574.790039,1183869952
BTC,6/29/2017,2567.560059,2588.830078,2510.47998,2539.320068,2539.320068,949979008
BTC,6/30/2017,2539.23999,2559.25,2478.429932,2480.840088,2480.840088,860273024
BTC,7/1/2017,2492.600098,2515.27002,2419.22998,2434.550049,2434.550049,779913984
BTC,7/2/2017,2436.399902,2514.280029,2394.840088,2506.469971,2506.469971,803747008
BTC,7/3/2017,2498.560059,2595,2480.469971,2564.060059,2564.060059,964112000
BTC,7/4/2017,2561,2631.590088,2559.350098,2601.639893,2601.639893,985516032
BTC,7/5/2017,2602.870117,2622.649902,2538.550049,2601.98999,2601.98999,941566016
BTC,7/6/2017,2608.100098,2616.719971,2581.689941,2608.560059,2608.560059,761956992
BTC,7/7/2017,2608.590088,2916.139893,2498.870117,2518.659912,2518.659912,917411968
BTC,7/8/2017,2520.27002,2571.340088,2492.310059,2571.340088,2571.340088,733329984
BTC,7/9/2017,2572.610107,2635.48999,2517.590088,2518.439941,2518.439941,527856000
BTC,7/10/2017,2525.25,2537.159912,2321.129883,2372.560059,2372.560059,1111200000
BTC,7/11/2017,2385.889893,2413.469971,2296.810059,2337.790039,2337.790039,1329760000
BTC,7/12/2017,2332.77002,2423.709961,2275.139893,2398.840088,2398.840088,1117410048
BTC,7/13/2017,2402.699951,2425.219971,2340.830078,2357.899902,2357.899902,835769984
BTC,7/14/2017,2360.590088,2363.25,2183.219971,2233.340088,2233.340088,882502976
BTC,7/15/2017,2230.120117,2231.139893,1990.410034,1998.859985,1998.859985,993608000
BTC,7/16/2017,1991.97998,2058.77002,1843.030029,1929.819946,1929.819946,1182870016
BTC,7/17/2017,1932.619995,2230.48999,1932.619995,2228.409912,2228.409912,1201760000
BTC,7/18/2017,2233.52002,2387.610107,2164.77002,2318.879883,2318.879883,1512450048
BTC,7/19/2017,2323.080078,2397.169922,2260.22998,2273.429932,2273.429932,1245100032
BTC,7/20/2017,2269.889893,2900.699951,2269.889893,2817.600098,2817.600098,2249260032
BTC,7/21/2017,2838.409912,2838.409912,2621.850098,2667.76001,2667.76001,1489449984
BTC,7/22/2017,2668.629883,2862.419922,2657.709961,2810.120117,2810.120117,1177129984
BTC,7/23/2017,2808.100098,2832.179932,2653.939941,2730.399902,2730.399902,1072840000
BTC,7/24/2017,2732.699951,2777.26001,2699.189941,2754.860107,2754.860107,866473984
BTC,7/25/2017,2757.5,2768.080078,2480.959961,2576.47998,2576.47998,1460089984
BTC,7/26/2017,2577.77002,2610.76001,2450.800049,2529.449951,2529.449951,937404032
BTC,7/27/2017,2538.709961,2693.320068,2529.340088,2671.780029,2671.780029,789104000
BTC,7/28/2017,2679.72998,2897.449951,2679.72998,2809.01001,2809.01001,1380099968
BTC,7/29/2017,2807.02002,2808.76001,2692.800049,2726.449951,2726.449951,803745984
BTC,7/30/2017,2724.389893,2758.530029,2644.850098,2757.179932,2757.179932,705942976
BTC,7/31/2017,2763.23999,2889.620117,2720.610107,2875.340088,2875.340088,860574976
BTC,8/1/2017,2871.300049,2921.350098,2685.610107,2718.26001,2718.26001,1324669952
BTC,8/2/2017,2727.129883,2762.530029,2668.590088,2710.669922,2710.669922,1094950016
BTC,8/3/2017,2709.560059,2813.310059,2685.139893,2804.72998,2804.72998,804796992
BTC,8/4/2017,2806.929932,2899.330078,2743.719971,2895.889893,2895.889893,1002120000
BTC,8/5/2017,2897.629883,3290.01001,2874.830078,3252.909912,3252.909912,1945699968
BTC,8/6/2017,3257.610107,3293.290039,3155.600098,3213.939941,3213.939941,1105030016
BTC,8/7/2017,3212.780029,3397.679932,3180.889893,3378.939941,3378.939941,1482279936
BTC,8/8/2017,3370.219971,3484.850098,3345.830078,3419.939941,3419.939941,1752760064
BTC,8/9/2017,3420.399902,3422.76001,3247.669922,3342.469971,3342.469971,1468960000
BTC,8/10/2017,3341.840088,3453.449951,3319.469971,3381.280029,3381.280029,1515110016
BTC,8/11/2017,3373.820068,3679.719971,3372.120117,3650.620117,3650.620117,2021190016
BTC,8/12/2017,3650.629883,3949.919922,3613.699951,3884.709961,3884.709961,2219589888
BTC,8/13/2017,3880.040039,4208.390137,3857.800049,4073.26001,4073.26001,3159089920
BTC,8/14/2017,4066.100098,4325.129883,3989.159912,4325.129883,4325.129883,2463089920
BTC,8/15/2017,4326.990234,4455.970215,3906.179932,4181.930176,4181.930176,3258050048
BTC,8/16/2017,4200.339844,4381.22998,3994.419922,4376.629883,4376.629883,2272039936
BTC,8/17/2017,4384.439941,4484.700195,4243.709961,4331.689941,4331.689941,2553359872
BTC,8/18/2017,4324.339844,4370.129883,4015.399902,4160.620117,4160.620117,2941710080
BTC,8/19/2017,4137.75,4243.259766,3970.550049,4193.700195,4193.700195,2975820032
BTC,8/20/2017,4189.310059,4196.290039,4069.879883,4087.659912,4087.659912,2109769984
BTC,8/21/2017,4090.47998,4109.140137,3988.600098,4001.73999,4001.73999,2800890112
